TABLE_NAME,COLUMN_NAME,DATA_LENGTH,DATA_TYPE,COLUMN_ID,NULLABLE
CNCPT_ADMIN_ITEM,NCI_CNCPT_VAL,255,VARCHAR2,14,Y
CNCPT_ADMIN_ITEM,NCI_ORD,22,NUMBER,12,Y
CNCPT_ADMIN_ITEM,NCI_PRMRY_IND,22,NUMBER,13,Y
CNCPT_ADMIN_ITEM,S2P_TRN_DT,7,DATE,10,Y
CNCPT_ADMIN_ITEM,VER_NR,22,NUMBER,4,N
CNCPT_CSI,CLSFCTN_SCHM_ITEM_ID,22,NUMBER,3,N
CNCPT_CSI,CNCPT_ITEM_ID,22,NUMBER,1,N
CNCPT_CSI,CNCPT_VER_NR,22,NUMBER,2,N
CNCPT_CSI,CREAT_DT,7,DATE,4,Y
CNCPT_CSI,CREAT_USR_ID,50,VARCHAR2,5,Y
CNCPT_CSI,FLD_DELETE,22,NUMBER,7,Y
CNCPT_CSI,LST_DEL_DT,7,DATE,8,Y
CNCPT_CSI,LST_UPD_DT,7,DATE,10,Y
CNCPT_CSI,LST_UPD_USR_ID,50,VARCHAR2,6,Y
CNCPT_CSI,S2P_TRN_DT,7,DATE,9,Y
CNCPT_VAL_MEAN,CNCPT_ITEM_ID,22,NUMBER,1,N
CNCPT_VAL_MEAN,CNCPT_VER_NR,22,NUMBER,2,N
CNCPT_VAL_MEAN,CREAT_DT,7,DATE,4,Y
CNCPT_VAL_MEAN,CREAT_USR_ID,50,VARCHAR2,5,Y
CNCPT_VAL_MEAN,FLD_DELETE,22,NUMBER,7,Y
CNCPT_VAL_MEAN,LST_DEL_DT,7,DATE,8,Y
CNCPT_VAL_MEAN,LST_UPD_DT,7,DATE,10,Y
CNCPT_VAL_MEAN,LST_UPD_USR_ID,50,VARCHAR2,6,Y
CNCPT_VAL_MEAN,S2P_TRN_DT,7,DATE,9,Y
CNCPT_VAL_MEAN,VAL_MEAN_ID,22,NUMBER,3,N
CNTCT,CNTCT_ID,22,NUMBER,1,N
CNTCT,CNTCT_NM,50,VARCHAR2,2,N
CNTCT,CNTCT_REGSTRR_IND,1,CHAR,4,Y
CNTCT,CNTCT_SECU_ID,50,VARCHAR2,7,N
CNTCT,CNTCT_TTL,50,VARCHAR2,3,Y
CNTCT,CREAT_DT,7,DATE,5,Y
CNTCT,CREAT_USR_ID,50,VARCHAR2,6,Y
CNTCT,FLD_DELETE,22,NUMBER,9,Y
CNTCT,LST_DEL_DT,7,DATE,10,Y
CNTCT,LST_UPD_DT,7,DATE,12,Y
CNTCT,LST_UPD_USR_ID,50,VARCHAR2,8,Y
CNTCT,PHN_NBR,50,VARCHAR2,13,Y
CNTCT,S2P_TRN_DT,7,DATE,11,Y
CNTXT,CNTXT_ACRO,10,VARCHAR2,11,Y
CNTXT,CREAT_DT,7,DATE,4,Y
CNTXT,CREAT_USR_ID,50,VARCHAR2,5,Y
CNTXT,FLD_DELETE,22,NUMBER,7,Y
CNTXT,ITEM_ID,22,NUMBER,3,N
CNTXT,LANG_ID,22,NUMBER,1,Y
CNTXT,LST_DEL_DT,7,DATE,8,Y
CNTXT,LST_UPD_DT,7,DATE,10,Y
CNTXT,LST_UPD_USR_ID,50,VARCHAR2,6,Y
CNTXT,NCI_PRG_AREA_ID,22,NUMBER,12,N
CNTXT,S2P_TRN_DT,7,DATE,9,Y
CNTXT,VER_NR,22,NUMBER,2,N
CNTXT_REL,CREAT_DT,7,DATE,5,Y
CNTXT_REL,CREAT_USR_ID,50,VARCHAR2,6,Y
CNTXT_REL,DISP_ORD,22,NUMBER,13,Y
CNTXT_REL,FLD_DELETE,22,NUMBER,8,Y
CNTXT_REL,LST_DEL_DT,7,DATE,9,Y
CNTXT_REL,LST_UPD_DT,7,DATE,11,Y
CNTXT_REL,LST_UPD_USR_ID,50,VARCHAR2,7,Y
CNTXT_REL,PRMRY_CNTXT_ITEM_ID,22,NUMBER,2,N
CNTXT_REL,PRMRY_CNTXT_VER_NR,22,NUMBER,1,N
CNTXT_REL,REL_TYP_ID,22,NUMBER,12,Y
CNTXT_REL,S2P_TRN_DT,7,DATE,10,Y
CNTXT_REL,SCNDRY_CNTXT_ITEM_ID,22,NUMBER,4,N
CNTXT_REL,SCNDRY_CNTXT_VER_NR,22,NUMBER,3,N
CONC_DOM,CONC_DOM_TYP_ID,22,NUMBER,5,Y
CONC_DOM,CREAT_DT,7,DATE,6,Y
CONC_DOM,CREAT_USR_ID,50,VARCHAR2,7,Y
CONC_DOM,DIMNSNLTY,255,VARCHAR2,1,Y
CONC_DOM,FLD_DELETE,22,NUMBER,9,Y
CONC_DOM,ITEM_ID,22,NUMBER,4,N
CONC_DOM,LST_DEL_DT,7,DATE,10,Y
CONC_DOM,LST_UPD_DT,7,DATE,12,Y
CONC_DOM,LST_UPD_USR_ID,50,VARCHAR2,8,Y
CONC_DOM,NON_ENUM_DESC,50,VARCHAR2,2,Y
CONC_DOM,S2P_TRN_DT,7,DATE,11,Y
CONC_DOM,VER_NR,22,NUMBER,3,N
CONC_DOM,X_CONC_DOM_ITEM_ID,22,NUMBER,13,Y
